County,Year,Income,DSCI,Precip,Temp,Count,Percentage,Crop,Coal,Petroleum Products,Natural Gas,Total,Sector,Population
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,0.0,2.58941859,4.384754,6.97417259,Residential,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,0.18722022,1.07114744,3.68526114,4.9436288,Commercial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,7.667448669449799,5.134327506628398,3.550513750589726,16.35228992666792,Industrial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,0.0,51.24086040333334,0.47309746,51.71395786333334,Transportation,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,31.63281044,0.90156814,4.2447812,36.77915978,Electic,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,140068,0.019369144,Corn,39.4874793294498,60.93732207996174,16.33840755058973,116.7632089600013,Total,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,0.0,2.58941859,4.384754,6.97417259,Residential,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,0.18722022,1.07114744,3.68526114,4.9436288,Commercial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,7.667448669449799,5.134327506628398,3.550513750589726,16.35228992666792,Industrial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,0.0,51.24086040333334,0.47309746,51.71395786333334,Transportation,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,31.63281044,0.90156814,4.2447812,36.77915978,Electic,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,229,3.17e-05,Cotton,39.4874793294498,60.93732207996174,16.33840755058973,116.7632089600013,Total,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,0.0,2.58941859,4.384754,6.97417259,Residential,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,0.18722022,1.07114744,3.68526114,4.9436288,Commercial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,7.667448669449799,5.134327506628398,3.550513750589726,16.35228992666792,Industrial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,0.0,51.24086040333334,0.47309746,51.71395786333334,Transportation,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,31.63281044,0.90156814,4.2447812,36.77915978,Electic,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,120,1.66e-05,Sorghum,39.4874793294498,60.93732207996174,16.33840755058973,116.7632089600013,Total,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,128850,0.017817875,Soybeans,0.0,2.58941859,4.384754,6.97417259,Residential,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,128850,0.017817875,Soybeans,0.18722022,1.07114744,3.68526114,4.9436288,Commercial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,128850,0.017817875,Soybeans,7.667448669449799,5.134327506628398,3.550513750589726,16.35228992666792,Industrial,33970
Accomack,2008,32179,97.9622641509434,44.92,58.5,128850,0.017817875,Soybeans,0.0,51.24086040333334,0.47309746,51.71395786333334,Transportation,33970
