Year,County,DSCI,Income,Agriculture,Aquaculture,Barren,Developed,Forest,Grassland,Open_Water,Shrubland,Wetlands,VACO2
2008,51067,181.9811320754717,31454.0,0.120511508351954,0.0,0.0008061901339125271,0.04294097770207979,0.6634602989202619,0.14573241714455365,0.026327405972154945,0.0002158304295513852,5.371345531821804e-06,116.7632089600013
2009,51067,27.865384615384617,30916.0,0.10355514711627108,0.0,0.0018540908167570356,0.04254593965342125,0.662632623404222,0.16187868181321,0.027040330015469474,0.000485862618560245,7.3245620888479145e-06,105.9076994903832
2010,51067,27.653846153846153,31328.0,0.08757246433426567,0.0,0.001827722393237183,0.040607860524712096,0.6600319155585418,0.18175949653890025,0.027313292029313874,0.0008872486210291107,0.0,111.8865601746905
2011,51067,50.34615384615385,33190.0,0.0889773153429067,0.0,0.0028971084582089784,0.04227932559338719,0.6724734167226589,0.1663300623466725,0.026095461506008093,0.0009165468693845024,3.076316077316124e-05,102.5194001632323
2012,51067,62.11538461538461,34500.0,0.08661148178820882,0.0,0.003505535415722612,0.04249320280638155,0.6730706126849696,0.16648534306295606,0.026632596059190276,0.0011704650217978967,3.076316077316124e-05,98.56258399481332
2013,51067,16.0188679245283,34415.0,0.082117618794631,0.0,0.001317932871853368,0.04210451271153335,0.6672002203228277,0.1806515344469272,0.02632691766801569,0.00027930996765473384,1.9532165570261107e-06,105.7674022312763
2014,51067,22.48076923076923,35895.0,0.08399075347281904,0.0,0.0013457662077909901,0.0462970920511899,0.6536849383564854,0.18427279794365362,0.027358216010125475,0.0029776786411863055,7.275731674922262e-05,107.4426175725116
2015,51067,43.96153846153846,37637.0,0.13721248652280577,0.0,0.005751246152163382,0.045957720674406614,0.6790645459943435,0.09926930168601653,0.027183891432410894,0.005530044377080176,3.076316077316124e-05,107.6209517155737
2016,51067,25.384615384615383,38567.0,0.12022292060565339,0.0,0.00695540415956998,0.0464767879744363,0.6826110989577636,0.10825946919386846,0.027672683875806677,0.007744015344469272,5.761988843227026e-05,110.0655001561514
2017,51067,59.25,39633.0,0.12659675453536884,0.0,0.001058643373908152,0.04627023532353079,0.688918035220401,0.10547125255871369,0.02726348500710971,0.0044132928106004965,8.30117036736097e-06,105.5849737356018
2018,51067,39.19230769230769,41034.0,0.1383731854618185,0.0,0.0008896901417253934,0.045788767442223856,0.6794219846242793,0.10087631060830976,0.02751349672640905,0.007015953872837789,0.00012061112239636233,110.0567857447943
2019,51067,33.24528301886792,43385.0,0.16215161737044728,0.0,0.0008398880409709106,0.06250378437925437,0.6678530899090381,0.06723645582872534,0.02749754381578716,0.01182728386067234,9.033679510442933e-05,106.7946258676866
2020,51067,1.8846153846153846,47157.0,0.18211362342280574,0.0,0.0006236015357103441,0.06247247021411459,0.6590725965947547,0.056022564901928036,0.02706831098232136,0.012386572398819797,0.0002402599495454106,98.17584856707008
2021,51067,47.0,50783.0,0.15471399585405696,0.0,0.00020705298651958092,0.07633467380608804,0.6284585539985887,0.10047002004604975,0.027073642984981335,0.012490569078296794,0.0002514912454188306,97.95340269664597
2022,51067,18.557692307692307,52577.0,0.15267895656523764,0.0,0.0003517261694528753,0.07645745310195613,0.6263417498474632,0.10367275397194105,0.027120041699091425,0.013061253600918787,0.0003160650439389032,
2008,51099,73.24528301886792,43329.0,0.17821759880490126,0.0,0.008664841238413566,0.08180833754032614,0.5345101652832073,0.019061900034344076,0.03948817944497723,0.02107750312943963,0.11717147452439086,116.7632089600013
2009,51099,33.84615384615385,43656.0,0.1607115041391179,0.0,0.009805890290385724,0.08156248651103608,0.5081590637392253,0.03241667808341294,0.0391503688703802,0.027197504705888977,0.1409965036605529,105.9076994903832
2010,51099,40.75,45651.0,0.13366226074096874,0.0,0.04804980078559726,0.03028284128720843,0.6258466377525838,0.09880583961879953,0.035244903282955764,0.0,0.0281077165318865,111.8865601746905
2011,51099,39.80769230769231,46094.0,0.11509581621603361,0.0,0.004738731671430421,0.08372635091387144,0.5501507948870493,0.051441043609468454,0.03730179433716874,0.033964976550315946,0.1235804918146621,102.5194001632323
2012,51099,76.63461538461539,47422.0,0.1086755385732758,0.0,0.00939113397379716,0.0835818430569605,0.5783467175134139,0.05563927836154364,0.039330534510165285,0.039722770121780715,0.085312183889063,98.56258399481332
2013,51099,7.7924528301886795,47687.0,0.1343416353409916,0.0,0.006940130582554336,0.0814892942198734,0.5424843715691113,0.03829270535598666,0.03907905330463195,0.036920819078039874,0.12045199054881081,105.7674022312763
2014,51099,29.192307692307693,48208.0,0.14972140011222818,0.0,0.007608244830090665,0.08261157601770128,0.5342098892168988,0.02766668605949595,0.04189601815168821,0.032572446292810454,0.12371373931908648,107.4426175725116
2015,51099,15.384615384615385,51608.0,0.1564776116041686,0.0,0.012039193533554912,0.08154184253147738,0.536364369992662,0.006409017290271243,0.04223382872628523,0.03052118541484077,0.13441295090673988,107.6209517155737
2016,51099,14.846153846153847,51066.0,0.15634248737432976,0.0,0.008304509958843413,0.08167884348673062,0.5347316188821097,0.00799485026546281,0.040708050964355355,0.033005969863543295,0.13723366920462501,110.0655001561514
