,County,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest,Agriculture,Watershed
0,51001,0.07585398370845352,0.14892032073555456,0.31990147780690137,0.43587043244786366,0.4108050199081726,0.41287581699019604,0.39884877020390097,0.22371655805801172,0.17873563233216902,0.296551724154578,0.06433790613333333,0.28962375953333336,1
1,51003,0.10809466110509441,0.18201086188808327,0.2814778324787449,0.3615765119081656,0.3301499846923782,0.3982679738431373,0.6529565671982663,0.6694143167329345,0.6728448276136109,0.5805747127897544,0.6798132367999999,0.08109327413333332,1
2,51005,0.18722625519610261,0.14787021060847272,0.20844006568431325,0.38273496091827364,0.3096724823875114,0.3615359477058824,0.590580847659432,0.6514822849247212,0.6604885058490325,0.5313793104364447,0.8971647084666666,0.02085814093333333,1
3,51007,0.15746683966158764,0.1442584393827397,0.3198357963783332,0.3476942716107082,0.4888276706427915,0.37065359478431376,0.7533228675907886,0.8082429502421876,0.8094827586617493,0.7162068966752081,0.6515856227333334,0.15551675446666666,1
4,51009,0.18421671545552348,0.1453331452310575,0.20545155991106148,0.4169778203454753,0.3256810529476583,0.3676470588235294,0.499005756122293,0.5253796095988631,0.5393678162199638,0.46367816097649617,0.7708310448,0.07213969886666667,1
5,51011,0.1402481261862126,0.15856120531784063,0.2782594416907261,0.42741343547282984,0.3981328435996326,0.4034313725490196,0.42700156970596587,0.3372378886061771,0.2807471265343215,0.347356321921958,0.6625057239333334,0.15965518246666666,1
6,51013,0.14211532756445314,0.10510487536151715,0.2296551723827756,0.40951013246574974,0.2844199571441689,0.31411764704901957,0.4365253792522019,0.43065798990484083,0.39784482771598156,0.3712643678571146,0.08926765666666667,0.0013491936666666668,1
7,51015,0.19792692036872225,0.1478199340668237,0.225123152708122,0.3799904260593581,0.32145699416896234,0.38307189542156866,0.6150706435816438,0.6864786697121381,0.682758620844233,0.5613793105105827,0.5822275620666667,0.13779712006666667,1
8,51017,0.3826819216733327,0.13058819910004868,0.26256157635159794,0.37210786660469647,0.3708907254453626,0.3946078431176471,0.6810047095574576,0.7681851049753514,0.7797413793147108,0.6417241380416766,0.8998305988666666,0.020851665933333333,1
9,51019,0.26302590992111574,0.14994267027258062,0.23776683086513462,0.39505345461919844,0.3559228650229568,0.37153594771568627,0.5499738355965422,0.5574837310010776,0.5216954024306689,0.47620689659934606,0.6253800489333333,0.13167464106666665,0
